date,steps,distance,runDistance,calories
2017-04-27,5321,3910,109,150
2017-04-28,6922,4849,440,173
2017-04-29,2463,1667,209,67
2017-04-30,1207,831,173,34
2017-05-01,7314,5056,262,175
2017-05-02,4080,2989,230,112
2017-05-03,7025,5233,715,204
2017-05-04,8794,6259,554,233
2017-05-05,5728,4129,322,152
2017-05-06,3992,2924,350,113
2017-05-07,5152,3711,396,139
2017-05-08,9396,6722,534,242
2017-05-09,8210,5994,531,223
2017-05-10,6093,4513,714,179
2017-05-11,10007,7063,617,251
2017-05-12,9682,6927,366,248
2017-05-13,7889,5879,282,215
2017-05-14,4628,3323,318,127
2017-05-15,8613,6087,640,212
2017-05-16,16717,12126,1946,453
2017-05-17,15486,11184,1355,400
2017-05-18,14968,10850,821,382
2017-05-19,10382,7396,537,256
2017-05-20,7942,5757,640,207
2017-05-21,5074,3618,247,132
2017-05-22,7731,5507,426,199
2017-05-23,10010,7176,828,259
2017-05-24,9456,6827,422,239
2017-05-25,6727,4917,493,175
2017-05-26,6749,4942,814,188
2017-05-27,5868,4249,301,158
2017-05-28,7022,4926,320,173
2017-05-29,3205,2289,273,90
2017-05-30,6574,4588,201,159
2017-05-31,7423,5347,815,206
2017-06-01,5777,4138,350,150
2017-06-02,6688,4965,324,182
2017-06-03,6400,4709,264,174
2017-06-04,4757,3337,299,116
2017-06-05,0,0,0,0
2017-06-06,0,0,0,0
2017-06-07,3678,2555,201,92
2017-06-08,6371,4515,405,162
2017-06-09,5143,3713,308,140
2017-06-10,5848,4229,355,158
2017-06-11,5707,4333,374,172
2017-06-12,6837,4996,473,192
2017-06-13,5706,4104,579,153
2017-06-14,7241,5164,529,197
2017-06-15,2015,1447,157,55
2017-06-16,5240,3692,381,140
2017-06-17,4699,3397,186,130
2017-06-18,7888,5467,349,189
2017-06-19,6670,4667,474,170
2017-06-20,4856,3346,356,125
2017-06-21,6577,4749,519,182
2017-06-22,5273,3725,383,136
2017-06-23,6395,4675,455,179
2017-06-24,5336,3893,441,149
2017-06-25,3495,2376,435,96
2017-06-26,5122,3530,298,132
2017-06-27,7269,5186,398,192
2017-06-28,6863,4959,412,186
2017-06-29,5673,4096,239,152
2017-06-30,6915,5001,533,185
2017-07-01,5942,4216,528,153
2017-07-02,5567,3917,453,142
2017-07-03,5982,4260,543,155
2017-07-04,6825,5047,432,196
2017-07-05,5321,3821,541,141
2017-07-06,9147,6573,599,240
2017-07-07,4275,3247,417,129
2017-07-08,6161,4426,520,158
2017-07-09,4763,3363,370,124
2017-07-10,6271,4513,553,161
2017-07-11,7035,5022,292,183
2017-07-12,6439,4613,564,168
2017-07-13,6284,4583,544,171
2017-07-14,7458,5400,553,200
2017-07-15,8109,5865,224,208
2017-07-16,5517,3898,354,142
