date,deepSleepTime,shallowSleepTime,wakeTime,start,stop,REMTime,naps
2017-04-27,0,0,0,2017-04-26 16:00:00+0000,2017-04-26 16:00:00+0000,,
2017-04-28,10,370,0,2017-04-27 16:14:00+0000,2017-04-27 22:34:00+0000,,
2017-04-29,25,330,0,2017-04-28 17:04:00+0000,2017-04-28 22:59:00+0000,,
2017-04-30,50,381,0,2017-04-29 17:50:00+0000,2017-04-30 01:01:00+0000,,
2017-05-01,63,336,5,2017-04-30 17:49:00+0000,2017-05-01 00:33:00+0000,,
2017-05-02,39,364,0,2017-05-01 16:14:00+0000,2017-05-01 22:57:00+0000,,
2017-05-03,26,403,0,2017-05-02 15:40:00+0000,2017-05-02 22:49:00+0000,,
2017-05-04,73,330,0,2017-05-03 15:48:00+0000,2017-05-03 22:31:00+0000,,
2017-05-05,50,400,0,2017-05-04 15:18:00+0000,2017-05-04 22:48:00+0000,,
2017-05-06,49,394,58,2017-05-05 14:46:00+0000,2017-05-05 23:07:00+0000,,
2017-05-07,48,356,0,2017-05-06 17:19:00+0000,2017-05-07 00:03:00+0000,,
2017-05-08,104,291,0,2017-05-07 15:56:00+0000,2017-05-07 22:31:00+0000,,
2017-05-09,102,329,0,2017-05-08 15:20:00+0000,2017-05-08 22:31:00+0000,,
2017-05-10,73,355,0,2017-05-09 15:37:00+0000,2017-05-09 22:45:00+0000,,
2017-05-11,11,463,0,2017-05-10 15:00:00+0000,2017-05-10 22:54:00+0000,,
2017-05-12,85,328,0,2017-05-11 15:36:00+0000,2017-05-11 22:29:00+0000,,
2017-05-13,104,242,52,2017-05-12 16:20:00+0000,2017-05-12 22:58:00+0000,,
2017-05-14,67,384,0,2017-05-13 16:11:00+0000,2017-05-13 23:42:00+0000,,
2017-05-15,60,387,0,2017-05-14 15:21:00+0000,2017-05-14 22:48:00+0000,,
2017-05-16,52,282,0,2017-05-15 16:56:00+0000,2017-05-15 22:30:00+0000,,
2017-05-17,47,382,0,2017-05-16 15:24:00+0000,2017-05-16 22:33:00+0000,,
2017-05-18,57,317,0,2017-05-17 16:20:00+0000,2017-05-17 22:34:00+0000,,
2017-05-19,69,336,0,2017-05-18 15:45:00+0000,2017-05-18 22:30:00+0000,,
2017-05-20,83,346,0,2017-05-19 15:55:00+0000,2017-05-19 23:04:00+0000,,
2017-05-21,84,336,0,2017-05-20 16:35:00+0000,2017-05-20 23:35:00+0000,,
2017-05-22,22,429,0,2017-05-21 15:40:00+0000,2017-05-21 23:11:00+0000,,
2017-05-23,73,278,31,2017-05-22 16:13:00+0000,2017-05-22 22:35:00+0000,,
2017-05-24,97,312,0,2017-05-23 15:41:00+0000,2017-05-23 22:30:00+0000,,
2017-05-25,24,412,0,2017-05-24 15:39:00+0000,2017-05-24 22:55:00+0000,,
2017-05-26,73,361,0,2017-05-25 15:53:00+0000,2017-05-25 23:07:00+0000,,
2017-05-27,61,352,0,2017-05-26 16:11:00+0000,2017-05-26 23:04:00+0000,,
2017-05-28,12,378,0,2017-05-27 17:34:00+0000,2017-05-28 00:04:00+0000,,
2017-05-29,24,432,0,2017-05-28 17:43:00+0000,2017-05-29 01:19:00+0000,,
2017-05-30,73,292,0,2017-05-29 18:34:00+0000,2017-05-30 00:39:00+0000,,
2017-05-31,25,444,0,2017-05-30 15:17:00+0000,2017-05-30 23:06:00+0000,,
2017-06-01,25,391,0,2017-05-31 16:00:00+0000,2017-05-31 22:56:00+0000,,
2017-06-02,38,396,0,2017-06-01 15:49:00+0000,2017-06-01 23:03:00+0000,,
2017-06-03,54,408,0,2017-06-02 15:11:00+0000,2017-06-02 22:53:00+0000,,
2017-06-04,0,0,0,2017-06-03 16:00:00+0000,2017-06-03 16:00:00+0000,,
2017-06-05,0,0,0,2017-06-04 16:00:00+0000,2017-06-04 16:00:00+0000,,
2017-06-06,0,0,0,2017-06-05 16:00:00+0000,2017-06-05 16:00:00+0000,,
2017-06-07,0,0,0,2017-06-06 16:00:00+0000,2017-06-06 16:00:00+0000,,
2017-06-08,34,422,0,2017-06-07 17:32:00+0000,2017-06-08 01:08:00+0000,,
2017-06-09,57,426,0,2017-06-08 14:59:00+0000,2017-06-08 23:02:00+0000,,
2017-06-10,28,378,0,2017-06-09 16:13:00+0000,2017-06-09 22:59:00+0000,,
2017-06-11,27,428,0,2017-06-10 16:31:00+0000,2017-06-11 00:06:00+0000,,
2017-06-12,49,371,17,2017-06-11 15:59:00+0000,2017-06-11 23:16:00+0000,,
2017-06-13,69,332,0,2017-06-12 16:12:00+0000,2017-06-12 22:53:00+0000,,
2017-06-14,103,275,46,2017-06-13 16:04:00+0000,2017-06-13 23:08:00+0000,,
2017-06-15,49,350,0,2017-06-14 16:07:00+0000,2017-06-14 22:46:00+0000,,
2017-06-16,30,374,0,2017-06-15 16:07:00+0000,2017-06-15 22:51:00+0000,,
2017-06-17,83,319,2,2017-06-16 15:59:00+0000,2017-06-16 22:43:00+0000,,
2017-06-18,0,0,0,2017-06-17 16:00:00+0000,2017-06-17 16:00:00+0000,,
2017-06-19,36,372,0,2017-06-18 15:50:00+0000,2017-06-18 22:38:00+0000,,
2017-06-20,53,353,17,2017-06-19 15:48:00+0000,2017-06-19 22:51:00+0000,,
2017-06-21,42,349,19,2017-06-20 15:57:00+0000,2017-06-20 22:47:00+0000,,
2017-06-22,109,305,2,2017-06-21 15:50:00+0000,2017-06-21 22:46:00+0000,,
2017-06-23,13,390,14,2017-06-22 15:50:00+0000,2017-06-22 22:47:00+0000,,
2017-06-24,66,301,0,2017-06-23 16:44:00+0000,2017-06-23 22:51:00+0000,0,
2017-06-25,77,333,0,2017-06-24 17:02:00+0000,2017-06-24 23:52:00+0000,0,
2017-06-26,77,315,26,2017-06-25 15:47:00+0000,2017-06-25 22:45:00+0000,0,
2017-06-27,67,305,0,2017-06-26 16:37:00+0000,2017-06-26 22:49:00+0000,0,
2017-06-28,31,375,0,2017-06-27 16:12:00+0000,2017-06-27 22:58:00+0000,0,
2017-06-29,22,352,17,2017-06-28 16:27:00+0000,2017-06-28 22:58:00+0000,0,
2017-06-30,68,367,0,2017-06-29 15:56:00+0000,2017-06-29 23:11:00+0000,0,
2017-07-01,75,346,0,2017-06-30 16:08:00+0000,2017-06-30 23:09:00+0000,0,
2017-07-02,48,300,0,2017-07-01 18:00:00+0000,2017-07-01 23:48:00+0000,0,
2017-07-03,21,385,14,2017-07-02 16:09:00+0000,2017-07-02 23:09:00+0000,0,
2017-07-04,22,412,0,2017-07-03 15:51:00+0000,2017-07-03 23:05:00+0000,0,
2017-07-05,65,380,0,2017-07-04 15:57:00+0000,2017-07-04 23:22:00+0000,0,
2017-07-06,74,369,0,2017-07-05 15:49:00+0000,2017-07-05 23:12:00+0000,0,
2017-07-07,0,0,0,2017-07-05 16:00:00+0000,2017-07-05 16:00:00+0000,0,
2017-07-08,0,0,0,2017-07-06 16:00:00+0000,2017-07-06 16:00:00+0000,0,
2017-07-09,54,328,0,2017-07-08 17:16:00+0000,2017-07-08 23:38:00+0000,0,
2017-07-10,107,296,0,2017-07-09 16:28:00+0000,2017-07-09 23:11:00+0000,0,
2017-07-11,26,314,34,2017-07-10 16:30:00+0000,2017-07-10 22:44:00+0000,0,
2017-07-12,63,284,62,2017-07-11 16:21:00+0000,2017-07-11 23:10:00+0000,0,
2017-07-13,34,345,0,2017-07-12 16:24:00+0000,2017-07-12 22:43:00+0000,0,
2017-07-14,24,340,33,2017-07-13 16:23:00+0000,2017-07-13 23:00:00+0000,0,
2017-07-15,76,353,0,2017-07-14 15:41:00+0000,2017-07-14 22:50:00+0000,0,
2017-07-16,70,351,0,2017-07-15 16:31:00+0000,2017-07-15 23:32:00+0000,0,
2017-07-17,59,342,0,2017-07-16 16:33:00+0000,2017-07-16 23:14:00+0000,0,
2017-07-18,27,347,0,2017-07-17 16:26:00+0000,2017-07-17 22:40:00+0000,0,
2017-07-19,86,309,0,2017-07-18 16:35:00+0000,2017-07-18 23:10:00+0000,0,
2017-07-20,23,296,11,2017-07-19 17:40:00+0000,2017-07-19 23:10:00+0000,0,
2017-07-21,80,325,0,2017-07-20 16:17:00+0000,2017-07-20 23:02:00+0000,0,
2017-07-22,49,383,0,2017-07-21 16:27:00+0000,2017-07-21 23:39:00+0000,0,
2017-07-23,55,302,24,2017-07-22 17:11:00+0000,2017-07-22 23:32:00+0000,0,
2017-07-24,23,317,74,2017-07-23 16:36:00+0000,2017-07-23 23:30:00+0000,0,
2017-07-25,116,207,0,2017-07-24 20:07:00+0000,2017-07-25 01:30:00+0000,0,
2017-07-26,31,366,0,2017-07-25 18:28:00+0000,2017-07-26 01:05:00+0000,0,
2017-07-27,0,0,0,2017-07-25 16:00:00+0000,2017-07-25 16:00:00+0000,0,
2017-07-28,0,0,0,2017-07-26 16:00:00+0000,2017-07-26 16:00:00+0000,0,
2017-07-29,0,0,0,2017-07-27 16:00:00+0000,2017-07-27 16:00:00+0000,0,
2017-07-30,0,0,0,2017-07-28 16:00:00+0000,2017-07-28 16:00:00+0000,0,
2017-07-31,0,0,0,2017-07-29 16:00:00+0000,2017-07-29 16:00:00+0000,0,
2017-08-01,0,0,0,2017-07-30 16:00:00+0000,2017-07-30 16:00:00+0000,0,
2017-08-02,0,0,0,2017-07-31 16:00:00+0000,2017-07-31 16:00:00+0000,0,
2017-08-03,0,0,0,2017-08-01 16:00:00+0000,2017-08-01 16:00:00+0000,0,
2017-08-15,0,0,0,2017-08-13 16:00:00+0000,2017-08-13 16:00:00+0000,0,
2017-08-16,47,367,0,2017-08-15 16:00:00+0000,2017-08-15 22:54:00+0000,0,
2017-08-17,56,345,0,2017-08-16 15:59:00+0000,2017-08-16 22:40:00+0000,0,
2017-08-18,72,346,3,2017-08-17 15:30:00+0000,2017-08-17 22:31:00+0000,0,
2017-08-19,62,310,14,2017-08-18 16:12:00+0000,2017-08-18 22:38:00+0000,0,
2017-08-20,59,317,0,2017-08-19 17:27:00+0000,2017-08-19 23:43:00+0000,0,
2017-08-21,24,195,56,2017-08-20 16:23:00+0000,2017-08-20 20:58:00+0000,0,
2017-08-22,65,198,0,2017-08-21 18:03:00+0000,2017-08-21 22:26:00+0000,0,
2017-08-23,141,389,0,2017-08-22 16:23:00+0000,2017-08-23 01:13:00+0000,0,
2017-08-24,73,293,0,2017-08-23 17:44:00+0000,2017-08-23 23:50:00+0000,0,
2017-09-09,0,0,0,2017-09-07 16:00:00+0000,2017-09-07 16:00:00+0000,0,
2017-09-10,64,334,0,2017-09-09 16:12:00+0000,2017-09-09 22:50:00+0000,0,
2017-09-11,88,278,23,2017-09-10 15:59:00+0000,2017-09-10 22:28:00+0000,0,
2017-09-12,37,339,0,2017-09-11 16:12:00+0000,2017-09-11 22:28:00+0000,0,
2017-09-13,69,320,0,2017-09-12 15:59:00+0000,2017-09-12 22:28:00+0000,0,
2017-09-14,38,330,0,2017-09-13 16:14:00+0000,2017-09-13 22:22:00+0000,0,
2017-09-15,0,380,0,2017-09-14 16:06:00+0000,2017-09-14 22:26:00+0000,0,
2017-09-16,56,341,0,2017-09-15 15:53:00+0000,2017-09-15 22:30:00+0000,0,
2017-09-17,62,296,0,2017-09-16 16:36:00+0000,2017-09-16 22:34:00+0000,0,
2017-09-18,30,342,17,2017-09-17 15:59:00+0000,2017-09-17 22:28:00+0000,0,
2017-09-19,19,362,0,2017-09-18 16:09:00+0000,2017-09-18 22:30:00+0000,0,
2017-09-20,33,356,0,2017-09-19 16:37:00+0000,2017-09-19 23:06:00+0000,0,
2017-09-21,74,313,0,2017-09-20 16:04:00+0000,2017-09-20 22:31:00+0000,0,
2017-09-22,33,357,16,2017-09-21 16:16:00+0000,2017-09-21 23:02:00+0000,0,
2017-09-23,77,336,0,2017-09-22 15:45:00+0000,2017-09-22 22:38:00+0000,0,
2017-09-24,76,312,0,2017-09-23 16:10:00+0000,2017-09-23 22:38:00+0000,0,
2017-09-25,89,351,0,2017-09-24 15:39:00+0000,2017-09-24 22:59:00+0000,0,
2017-09-26,0,0,0,2017-09-24 16:00:00+0000,2017-09-24 16:00:00+0000,0,
2017-09-27,85,344,0,2017-09-26 15:56:00+0000,2017-09-26 23:05:00+0000,0,
2017-09-28,86,318,0,2017-09-27 16:15:00+0000,2017-09-27 22:59:00+0000,0,
2017-09-29,0,0,0,2017-09-27 16:00:00+0000,2017-09-27 16:00:00+0000,0,
2017-09-30,43,368,0,2017-09-29 16:17:00+0000,2017-09-29 23:08:00+0000,0,
2017-10-01,39,441,0,2017-09-30 17:29:00+0000,2017-10-01 01:29:00+0000,0,
2017-10-02,0,0,0,2017-09-30 16:00:00+0000,2017-09-30 16:00:00+0000,0,
2017-10-03,0,0,0,2017-10-01 16:00:00+0000,2017-10-01 16:00:00+0000,0,
2017-10-04,0,0,0,2017-10-02 16:00:00+0000,2017-10-02 16:00:00+0000,0,
2017-10-05,103,266,0,2017-10-04 16:25:00+0000,2017-10-04 22:34:00+0000,0,
2017-10-06,68,314,17,2017-10-05 15:55:00+0000,2017-10-05 22:34:00+0000,0,
2017-10-07,0,0,0,2017-10-05 16:00:00+0000,2017-10-05 16:00:00+0000,0,
2017-10-08,0,0,0,2017-10-06 16:00:00+0000,2017-10-06 16:00:00+0000,0,
2017-10-09,0,0,0,2017-10-07 16:00:00+0000,2017-10-07 16:00:00+0000,0,
2017-10-10,86,98,0,2017-10-09 20:17:00+0000,2017-10-09 23:21:00+0000,0,
2017-10-11,0,0,0,2017-10-09 16:00:00+0000,2017-10-09 16:00:00+0000,0,
2017-10-12,213,302,0,2017-10-11 14:45:00+0000,2017-10-11 23:20:00+0000,0,
2017-10-13,0,0,0,2017-10-11 16:00:00+0000,2017-10-11 16:00:00+0000,0,
2017-10-14,0,0,0,2017-10-12 16:00:00+0000,2017-10-12 16:00:00+0000,0,
2017-10-15,0,0,0,2017-10-13 16:00:00+0000,2017-10-13 16:00:00+0000,0,
2017-10-16,0,0,0,2017-10-14 16:00:00+0000,2017-10-14 16:00:00+0000,0,
2017-10-17,0,0,0,2017-10-15 16:00:00+0000,2017-10-15 16:00:00+0000,0,
2017-10-18,51,73,0,2017-10-17 21:09:00+0000,2017-10-17 23:13:00+0000,0,
2017-10-19,28,74,0,2017-10-18 14:57:00+0000,2017-10-18 16:39:00+0000,0,
2017-12-24,0,0,0,2017-12-22 16:00:00+0000,2017-12-22 16:00:00+0000,0,
2017-12-25,72,303,0,2017-12-24 16:12:00+0000,2017-12-24 22:27:00+0000,0,
2017-12-26,33,395,0,2017-12-25 15:57:00+0000,2017-12-25 23:05:00+0000,0,
2017-12-27,102,276,18,2017-12-26 15:48:00+0000,2017-12-26 22:24:00+0000,0,
2017-12-28,103,329,0,2017-12-27 16:00:00+0000,2017-12-27 23:12:00+0000,0,
2017-12-29,103,290,0,2017-12-28 16:41:00+0000,2017-12-28 23:14:00+0000,0,
2017-12-30,0,0,0,2017-12-28 16:00:00+0000,2017-12-28 16:00:00+0000,0,
2017-12-31,87,434,0,2017-12-30 16:44:00+0000,2017-12-31 01:25:00+0000,0,
2018-01-01,0,0,0,2017-12-30 16:00:00+0000,2017-12-30 16:00:00+0000,0,
